Flow_ID,Source,Destination,Throughput_DL_Mbps,Throughput_UL_Mbps,Packets_Sent,Packets_Received,Packets_Lost,Delay_Mean_ms,Jitter_ms
1,1.0.0.2,7.0.0.2,0.871645,1.02717,12205,10357,1737,99.7135,13.5954
2,1.0.0.2,7.0.0.3,0.662255,1.02717,12205,7869,3901,130.177,16.7022
3,1.0.0.2,7.0.0.4,1.02709,1.02717,12205,12204,0,17.94,3.01781
4,1.0.0.2,7.0.0.5,0.971206,1.02717,12205,11540,582,59.4238,9.61751
5,1.0.0.2,7.0.0.6,0.676478,1.02717,12205,8038,3694,126.441,16.5227
6,1.0.0.2,7.0.0.7,0.773683,1.02717,12205,9193,2686,138.684,17.3446
7,1.0.0.2,7.0.0.8,0.708627,1.02717,12205,8420,3454,118.902,15.8108
8,1.0.0.2,7.0.0.9,1.02692,1.02717,12205,12202,0,17.8866,2.96358
9,1.0.0.2,7.0.0.10,0.547882,1.02717,12205,6510,5107,147.442,20.5114
10,1.0.0.2,7.0.0.11,0.681107,1.02717,12205,8093,3668,125.568,16.4986
11,13.0.0.5,13.0.0.6,0.00454528,0.00454528,637,637,0,0.0001526,8.18302e-05
12,14.0.0.6,14.0.0.5,0.00454528,0.00454528,637,637,0,7.22857e-05,1.26918e-05
13,14.0.0.5,14.0.0.6,0.00331032,0.00331032,428,428,0,7.84463e-05,1.63138e-05
14,13.0.0.6,13.0.0.5,0.00331032,0.00331032,428,428,0,7.84463e-05,1.63138e-05
